Volume (m3),Surface (m2),Head (m)
4860000000,103074297.5,166.9287838
4854000000,102987517.5,166.863213
4848000000,102900703.5,166.797587
4842000000,102813855.2,166.7319057
4836000000,102726972.7,166.6661688
4830000000,102640055.9,166.6003764
4824000000,102553104.7,166.5345282
4818000000,102466119.1,166.4686242
4812000000,102379099.1,166.4026643
4806000000,102292044.5,166.3366483
4800000000,102204955.3,166.2705761
4794000000,102117831.4,166.2044476
4788000000,102030672.9,166.1382627
4782000000,101943479.6,166.0720212
4776000000,101856251.5,166.0057231
4770000000,101768988.5,165.9393683
4764000000,101681690.6,165.8729565
4758000000,101594357.7,165.8064877
4752000000,101506989.8,165.7399618
4746000000,101419586.7,165.6733786
4740000000,101332148.5,165.606738
4734000000,101244675.1,165.5400399
4728000000,101157166.3,165.4732842
4722000000,101069622.3,165.4064708
4716000000,100982042.8,165.3395995
4710000000,100894427.9,165.2726701
4704000000,100806777.4,165.2056827
4698000000,100719091.4,165.138637
4692000000,100631369.7,165.071533
4686000000,100543612.3,165.0043704
4680000000,100455819.2,164.9371493
4674000000,100367990.2,164.8698693
4668000000,100280125.4,164.8025305
4662000000,100192224.6,164.7351328
4656000000,100104287.9,164.6676758
4650000000,100016315,164.6001597
4644000000,99928306.06,164.5325841
4638000000,99840260.9,164.464949
4632000000,99752179.5,164.3972543
4626000000,99664061.79,164.3294998
4620000000,99575907.71,164.2616854
4614000000,99487717.19,164.1938109
4608000000,99399490.17,164.1258763
4602000000,99311226.59,164.0578814
4596000000,99222926.4,163.9898261
4590000000,99134589.51,163.9217102
4584000000,99046215.88,163.8535336
4578000000,98957805.43,163.7852962
4572000000,98869358.11,163.7169978
4566000000,98780873.84,163.6486383
4560000000,98692352.58,163.5802175
4554000000,98603794.24,163.5117354
4548000000,98515198.78,163.4431918
4542000000,98426566.11,163.3745866
4536000000,98337896.18,163.3059196
4530000000,98249188.93,163.2371906
4524000000,98160444.29,163.1683997
4518000000,98071662.18,163.0995465
4512000000,97982842.56,163.030631
4506000000,97893985.34,162.961653
4500000000,97805090.47,162.8926124
4494000000,97716157.88,162.823509
4488000000,97627187.51,162.7543428
4482000000,97538179.28,162.6851135
4476000000,97449133.12,162.6158211
4470000000,97360048.98,162.5464653
4464000000,97270926.79,162.4770461
4458000000,97181766.47,162.4075633
4452000000,97092567.96,162.3380167
4446000000,97003331.2,162.2684062
4440000000,96914056.1,162.1987317
4434000000,96824742.62,162.128993
4428000000,96735390.67,162.05919
4422000000,96646000.19,161.9893225
4416000000,96556571.11,161.9193904
4410000000,96467103.36,161.8493935
4404000000,96377596.87,161.7793317
4398000000,96288051.57,161.7092048
4392000000,96198467.39,161.6390128
4386000000,96108844.26,161.5687553
4380000000,96019182.12,161.4984323
4374000000,95929480.89,161.4280437
4368000000,95839740.49,161.3575893
4362000000,95749960.87,161.2870688
4356000000,95660141.94,161.2164823
4350000000,95570283.65,161.1458295
4344000000,95480385.9,161.0751102
4338000000,95390448.64,161.0043244
4332000000,95300471.79,160.9334718
4326000000,95210455.28,160.8625523
4320000000,95120399.04,160.7915658
4314000000,95030302.98,160.7205121
4308000000,94940167.05,160.649391
4302000000,94849991.17,160.5782024
4296000000,94759775.26,160.5069461
4290000000,94669519.25,160.4356219
4284000000,94579223.07,160.3642298
4278000000,94488886.64,160.2927695
4272000000,94398509.89,160.2212409
4266000000,94308092.74,160.1496438
4260000000,94217635.12,160.077978
4254000000,94127136.95,160.0062435
4248000000,94036598.16,159.93444
4242000000,93946018.67,159.8625673
4236000000,93855398.4,159.7906254
4230000000,93764737.29,159.718614
4224000000,93674035.25,159.646533
4218000000,93583292.21,159.5743821
4212000000,93492508.08,159.5021614
4206000000,93401682.8,159.4298704
4200000000,93310816.29,159.3575092
4194000000,93219908.46,159.2850775
4188000000,93128959.24,159.2125752
4182000000,93037968.56,159.1400021
4176000000,92946936.32,159.067358
4170000000,92855862.46,158.9946428
4164000000,92764746.9,158.9218562
4158000000,92673589.55,158.8489982
4152000000,92582390.34,158.7760684
4146000000,92491149.19,158.7030669
4140000000,92399866.01,158.6299933
4134000000,92308540.73,158.5568475
4128000000,92217173.26,158.4836294
4122000000,92125763.53,158.4103387
4116000000,92034311.46,158.3369753
4110000000,91942816.96,158.263539
4104000000,91851279.94,158.1900296
4098000000,91759700.34,158.116447
4092000000,91668078.07,158.0427909
4086000000,91576413.04,157.9690612
4080000000,91484705.17,157.8952578
4074000000,91392954.37,157.8213803
4068000000,91301160.58,157.7474286
4062000000,91209323.69,157.6734026
4056000000,91117443.64,157.5993021
4050000000,91025520.32,157.5251269
4044000000,90933553.67,157.4508767
4038000000,90841543.59,157.3765515
4032000000,90749490,157.3021509
4026000000,90657392.81,157.2276749
4020000000,90565251.94,157.1531233
4014000000,90473067.3,157.0784958
4008000000,90380838.81,157.0037922
4002000000,90288566.38,156.9290124
3996000000,90196249.92,156.8541562
3990000000,90103889.34,156.7792234
3984000000,90011484.56,156.7042138
3978000000,89919035.5,156.6291272
3972000000,89826542.05,156.5539633
3966000000,89734004.14,156.4787221
3960000000,89641421.67,156.4034033
3954000000,89548794.56,156.3280067
3948000000,89456122.71,156.2525321
3942000000,89363406.05,156.1769793
3936000000,89270644.47,156.1013481
3930000000,89177837.88,156.0256384
3924000000,89084986.2,155.9498498
3918000000,88992089.34,155.8739823
3912000000,88899147.2,155.7980355
3906000000,88806159.69,155.7220094
3900000000,88713126.73,155.6459036
3894000000,88620048.21,155.5697181
3888000000,88526924.04,155.4934525
3882000000,88433754.14,155.4171067
3876000000,88340538.41,155.3406805
3870000000,88247276.76,155.2641736
3864000000,88153969.09,155.1875858
3858000000,88060615.3,155.110917
3852000000,87967215.31,155.034167
3846000000,87873769.02,154.9573354
3840000000,87780276.33,154.8804221
3834000000,87686737.15,154.8034269
3828000000,87593151.38,154.7263496
3822000000,87499518.92,154.6491899
3816000000,87405839.69,154.5719477
3810000000,87312113.57,154.4946227
3804000000,87218340.49,154.4172146
3798000000,87124520.32,154.3397234
3792000000,87030652.99,154.2621487
3786000000,86936738.39,154.1844903
3780000000,86842776.42,154.106748
3774000000,86748766.98,154.0289216
3768000000,86654709.97,153.9510109
3762000000,86560605.3,153.8730156
3756000000,86466452.86,153.7949356
3750000000,86372252.55,153.7167704
3744000000,86278004.27,153.6385201
3738000000,86183707.92,153.5601843
3732000000,86089363.41,153.4817627
3726000000,85994970.61,153.4032552
3720000000,85900529.44,153.3246616
3714000000,85806039.8,153.2459815
3708000000,85711501.56,153.1672148
3702000000,85616914.65,153.0883612
3696000000,85522278.94,153.0094205
3690000000,85427594.34,152.9303925
3684000000,85332860.74,152.8512768
3678000000,85238078.03,152.7720734
3672000000,85143246.11,152.6927818
3666000000,85048364.88,152.613402
3660000000,84953434.22,152.5339335
3654000000,84858454.04,152.4543763
3648000000,84763424.21,152.3747301
3642000000,84668344.65,152.2949945
3636000000,84573215.23,152.2151694
3630000000,84478035.84,152.1352545
3624000000,84382806.39,152.0552496
3618000000,84287526.76,151.9751544
3612000000,84192196.84,151.8949686
3606000000,84096816.52,151.8146921
3600000000,84001385.7,151.7343245
3594000000,83905904.25,151.6538656
3588000000,83810372.07,151.5733151
3582000000,83714789.04,151.4926728
3576000000,83619155.06,151.4119385
3570000000,83523470.01,151.3311118
3564000000,83427733.78,151.2501925
3558000000,83331946.25,151.1691804
3552000000,83236107.31,151.0880751
3546000000,83140216.85,151.0068765
3540000000,83044274.75,150.9255842
3534000000,82948280.89,150.844198
3528000000,82852235.16,150.7627176
3522000000,82756137.45,150.6811427
3516000000,82659987.63,150.5994731
3510000000,82563785.59,150.5177085
3504000000,82467531.21,150.4358487
3498000000,82371224.38,150.3538933
3492000000,82274864.97,150.2718421
3486000000,82178452.87,150.1896948
3480000000,82081987.95,150.1074511
3474000000,81985470.1,150.0251107
3468000000,81888899.19,149.9426735
3462000000,81792275.11,149.860139
3456000000,81695597.73,149.777507
3450000000,81598866.93,149.6947772
3444000000,81502082.59,149.6119493
3438000000,81405244.58,149.5290231
3432000000,81308352.79,149.4459983
3426000000,81211407.08,149.3628745
3420000000,81114407.34,149.2796514
3414000000,81017353.43,149.1963289
3408000000,80920245.24,149.1129065
3402000000,80823082.63,149.029384
3396000000,80725865.49,148.9457612
3390000000,80628593.68,148.8620376
3384000000,80531267.07,148.778213
3378000000,80433885.54,148.6942871
3372000000,80336448.96,148.6102596
3366000000,80238957.2,148.5261301
3360000000,80141410.13,148.4418985
3354000000,80043807.62,148.3575643
3348000000,79946149.54,148.2731273
3342000000,79848435.75,148.1885872
3336000000,79750666.14,148.1039436
3330000000,79652840.55,148.0191962
3324000000,79554958.87,147.9343448
3318000000,79457020.95,147.8493889
3312000000,79359026.66,147.7643284
3306000000,79260975.88,147.6791628
3300000000,79162868.45,147.5938918
3294000000,79064704.26,147.5085152
3288000000,78966483.15,147.4230325
3282000000,78868205,147.3374436
3276000000,78769869.66,147.251748
3270000000,78671477.01,147.1659454
3264000000,78573026.89,147.0800355
3258000000,78474519.17,146.9940179
3252000000,78375953.72,146.9078924
3246000000,78277330.38,146.8216586
3240000000,78178649.02,146.7353161
3234000000,78079909.5,146.6488646
3228000000,77981111.68,146.5623038
3222000000,77882255.4,146.4756333
3216000000,77783340.54,146.3888529
3210000000,77684366.94,146.301962
3204000000,77585334.46,146.2149605
3198000000,77486242.95,146.1278479
3192000000,77387092.27,146.0406239
3186000000,77287882.28,145.9532882
3180000000,77188612.81,145.8658403
3174000000,77089283.74,145.77828
3168000000,76989894.9,145.6906069
3162000000,76890446.15,145.6028206
3156000000,76790937.34,145.5149207
3150000000,76691368.31,145.426907
3144000000,76591738.93,145.3387789
3138000000,76492049.03,145.2505363
3132000000,76392298.46,145.1621786
3126000000,76292487.07,145.0737056
3120000000,76192614.7,144.9851168
3114000000,76092681.21,144.8964119
3108000000,75992686.43,144.8075905
3102000000,75892630.21,144.7186522
3096000000,75792512.39,144.6295966
3090000000,75692332.82,144.5404235
3084000000,75592091.33,144.4511323
3078000000,75491787.78,144.3617227
3072000000,75391421.99,144.2721943
3066000000,75290993.81,144.1825467
3060000000,75190503.07,144.0927795
3054000000,75089949.63,144.0028924
3048000000,74989333.3,143.9128849
3042000000,74888653.94,143.8227566
3036000000,74787911.37,143.7325071
3030000000,74687105.43,143.6421361
3024000000,74586235.96,143.5516431
3018000000,74485302.79,143.4610278
3012000000,74384305.75,143.3702896
3006000000,74283244.68,143.2794283
3000000000,74182119.4,143.1884433
2994000000,74080929.75,143.0973343
2988000000,73979675.56,143.0061008
2982000000,73878356.65,142.9147425
2976000000,73776972.86,142.8232589
2970000000,73675524.01,142.7316496
2964000000,73574009.92,142.6399141
2958000000,73472430.44,142.548052
2952000000,73370785.37,142.456063
2946000000,73269074.54,142.3639465
2940000000,73167297.78,142.2717021
2934000000,73065454.92,142.1793295
2928000000,72963545.76,142.086828
2922000000,72861570.13,141.9941974
2916000000,72759527.86,141.9014371
2910000000,72657418.76,141.8085468
2904000000,72555242.65,141.7155259
2898000000,72452999.35,141.622374
2892000000,72350688.67,141.5290906
2886000000,72248310.43,141.4356753
2880000000,72145864.44,141.3421277
2874000000,72043350.52,141.2484472
2868000000,71940768.48,141.1546334
2862000000,71838118.14,141.0606859
2856000000,71735399.3,140.9666041
2850000000,71632611.78,140.8723876
2844000000,71529755.38,140.7780359
2838000000,71426829.91,140.6835485
2832000000,71323835.18,140.588925
2826000000,71220771,140.4941648
2820000000,71117637.17,140.3992675
2814000000,71014433.49,140.3042326
2808000000,70911159.78,140.2090595
