Volume (m3),Surface (m2),Head (m)
11340000000,173234113.4,205.738557
11326000000,173088264.7,205.6577415
11312000000,172942358.8,205.576858
11298000000,172796395.3,205.4959061
11284000000,172650374.3,205.4148859
11270000000,172504295.6,205.3337972
11256000000,172358159.2,205.2526398
11242000000,172211964.9,205.1714136
11228000000,172065712.7,205.0901184
11214000000,171919402.5,205.0087542
11200000000,171773034.1,204.9273206
11186000000,171626607.5,204.8458177
11172000000,171480122.6,204.7642453
11158000000,171333579.2,204.6826032
11144000000,171186977.4,204.6008913
11130000000,171040316.9,204.5191093
11116000000,170893597.7,204.4372573
11102000000,170746819.7,204.355335
11088000000,170599982.8,204.2733422
11074000000,170453086.9,204.1912789
11060000000,170306131.9,204.1091449
11046000000,170159117.7,204.02694
11032000000,170012044.2,203.944664
11018000000,169864911.4,203.8623169
11004000000,169717719,203.7798985
10990000000,169570467,203.6974086
10976000000,169423155.3,203.614847
10962000000,169275783.8,203.5322137
10948000000,169128352.4,203.4495084
10934000000,168980861.1,203.3667311
10920000000,168833309.6,203.2838814
10906000000,168685697.9,203.2009594
10892000000,168538025.9,203.1179648
10878000000,168390293.5,203.0348975
10864000000,168242500.6,202.9517573
10850000000,168094647.1,202.8685441
10836000000,167946732.9,202.7852577
10822000000,167798757.8,202.7018979
10808000000,167650721.9,202.6184647
10794000000,167502624.9,202.5349577
10780000000,167354466.7,202.4513769
10766000000,167206247.4,202.3677222
10752000000,167057966.7,202.2839932
10738000000,166909624.5,202.20019
10724000000,166761220.8,202.1163123
10710000000,166612755.5,202.0323599
10696000000,166464228.4,201.9483327
10682000000,166315639.4,201.8642306
10668000000,166166988.4,201.7800533
10654000000,166018275.4,201.6958007
10640000000,165869500.1,201.6114726
10626000000,165720662.6,201.5270689
10612000000,165571762.6,201.4425894
10598000000,165422800.2,201.3580339
10584000000,165273775.1,201.2734023
10570000000,165124687.3,201.1886944
10556000000,164975536.6,201.1039099
10542000000,164826323,201.0190489
10528000000,164677046.3,200.934111
10514000000,164527706.5,200.8490961
10500000000,164378303.3,200.764004
10486000000,164228836.8,200.6788347
10472000000,164079306.7,200.5935877
10458000000,163929713.1,200.5082632
10444000000,163780055.7,200.4228607
10430000000,163630334.4,200.3373802
10416000000,163480549.2,200.2518215
10402000000,163330699.9,200.1661844
10388000000,163180786.5,200.0804687
10374000000,163030808.7,199.9946743
10360000000,162880766.6,199.908801
10346000000,162730659.9,199.8228485
10332000000,162580488.5,199.7368168
10318000000,162430252.4,199.6507056
10304000000,162279951.4,199.5645148
10290000000,162129585.5,199.4782441
10276000000,161979154.4,199.3918934
10262000000,161828658.1,199.3054625
10248000000,161678096.5,199.2189513
10234000000,161527469.4,199.1323595
10220000000,161376776.7,199.0456869
10206000000,161226018.3,198.9589334
10192000000,161075194.1,198.8720988
10178000000,160924304,198.7851829
10164000000,160773347.8,198.6981854
